data.bams..SRR1029151.alignments_sorted_subsampled.bam	data.bams..SRR1029152.alignments_sorted_subsampled.bam	data.bams..SRR1029153.alignments_sorted_subsampled.bam	data.bams..SRR1029156.alignments_sorted_subsampled.bam	data.bams..SRR1029157.alignments_sorted_subsampled.bam	data.bams..SRR1029158.alignments_sorted_subsampled.bam
R0010W	78	97	80	79	67	70
R0020C	94	93	97	105	94	98
R0030W	40	40	45	62	48	45
R0040C	66	80	76	53	45	66
YAL069W	0	1	0	0	1	0
YAL068W-A	0	0	0	0	0	0
YAL068C	5	6	2	1	1	1
YAL067W-A	2	5	9	2	1	4
YAL067C	0	0	0	0	0	0
YAL066W	0	0	0	0	0	0
YAL065C	0	0	0	0	0	1
YAL064W-B	0	0	0	0	0	0
YAL064C-A	0	0	0	0	0	0
YAL064W	0	1	0	0	0	0
YAL063C-A	0	1	0	0	0	2
YAL063C	4	10	10	4	2	6
YAL062W	39	44	37	35	67	67
YAL061W	22	19	26	63	64	101
YAL060W	57	57	68	51	65	72
YAL059C-A	0	0	0	0	0	0
YAL059W	4	6	1	4	3	0
YAL058W	17	19	15	10	14	19
YAL056C-A	0	1	0	0	0	1
YAL056W	41	38	46	56	39	59
YAL055W	12	5	9	10	8	12
YAL054C	16	29	70	204	197	230
YAL053W	65	83	63	53	71	87
YAL051W	29	20	19	21	31	47
YAL049C	30	32	25	37	44	44
YAL048C	15	28	19	16	13	20
YAL047W-A	0	0	0	0	0	0
YAL047C	13	17	18	7	6	20
YAL046C	11	15	14	8	10	17
YAL045C	0	0	0	0	0	0
YAL044W-A	2	1	0	2	2	5
YAL044C	20	29	31	29	27	35
YAL043C	32	36	33	24	29	45
YAL042C-A	0	0	0	0	0	0
YAL042W	46	54	34	42	30	53
YAL041W	32	43	32	32	24	46
YAL040C	26	33	31	20	14	29
YAL039C	30	24	31	30	15	27
YAL038W	32	60	48	40	52	67
YAL037C-B	0	0	0	0	0	1
YAL037C-A	1	0	0	0	1	0
YAL037W	8	9	5	6	8	9
YAL036C	26	23	14	17	16	26
